gene_A,gene_B,lcbs_length,peak_col_pos,M,time_baseline_us,time_ms_us,speedup,lcbs_sequence
10023_at,10186_s_at,9,13,132,183.8000025600195,480.60002154670656,0.38243860657454654,"[5, 7, 9, 8, 7, 5, 4, 3, 1]"
10078_at,10079_at,10,4,132,190.10002142749727,499.40001918002963,0.3806568164326957,"[1, 7, 9, 8, 7, 6, 3, 2, 1, 0]"
10049_at,10147_at,9,10,132,184.80001017451286,485.3999998886138,0.3807169555354748,"[2, 3, 5, 9, 6, 5, 4, 3, 0]"
10068_i_at,10123_at,9,22,132,188.3000077214092,482.79998009093106,0.3900166020842515,"[0, 3, 4, 6, 7, 8, 5, 3, 1]"
10058_at,10179_at,10,13,132,182.09998961538076,489.8000042885542,0.3717843773396556,"[5, 7, 8, 9, 7, 6, 4, 3, 2, 0]"
10128_at,10167_at,9,19,132,186.49999401532114,475.7999849971384,0.3919714163430308,"[0, 2, 4, 5, 8, 9, 8, 5, 4]"
10087_at,10182_at,10,18,132,188.20000695995986,493.40000259689987,0.3814349533226824,"[0, 1, 2, 3, 7, 9, 6, 4, 1, 0]"
10077_at,10170_g_at,8,16,132,182.9999964684248,490.4999805148691,0.3730886926363034,"[2, 3, 5, 8, 9, 8, 5, 1]"
10052_at,10109_at,10,16,132,181.0000103432685,493.5999750159681,0.3666937186076906,"[0, 2, 3, 4, 8, 7, 6, 5, 3, 0]"
10023_at,10058_at,9,4,132,183.2999987527728,503.9999959990382,0.36369047660294546,"[5, 7, 9, 8, 7, 6, 4, 3, 1]"
10001_at,10171_at,8,16,132,182.9999964684248,490.20000733435154,0.37331700067398343,"[0, 1, 6, 7, 8, 6, 3, 2]"
10020_at,10162_at,8,13,132,185.49998640082777,489.90000505000353,0.37864867215482884,"[0, 1, 5, 9, 8, 5, 2, 0]"
10128_at,10134_at,9,6,132,185.10001245886087,491.49998812936246,0.3766022724910884,"[0, 1, 5, 6, 9, 8, 5, 1, 0]"
10131_at,10180_at,10,19,132,181.99998885393143,483.6000152863562,0.3763440510773412,"[0, 1, 3, 5, 6, 8, 9, 8, 7, 5]"
10121_at,10136_at,10,13,132,186.10002007335424,489.6000027656555,0.38010624800267834,"[1, 5, 7, 9, 8, 5, 3, 2, 1, 0]"
10130_at,10144_at,9,14,132,184.50000789016485,489.70000352710485,0.3767612958163942,"[0, 1, 5, 8, 7, 6, 3, 2, 0]"
10060_at,10154_at,10,13,132,182.39999189972878,480.49999168142676,0.37960456827782973,"[3, 8, 9, 7, 6, 5, 4, 2, 1, 0]"
10085_at,10155_at,9,8,132,184.99998259358108,491.99999193660915,0.3760162309462336,"[0, 3, 5, 8, 9, 8, 5, 1, 0]"
10038_i_at,10121_at,9,8,132,190.5999961309135,499.59999159909785,0.38150520283407,"[0, 4, 7, 5, 4, 3, 2, 1, 0]"
10136_at,10186_s_at,10,13,132,184.69998030923307,497.2000024281442,0.3714802482043955,"[6, 8, 9, 8, 7, 6, 5, 4, 3, 2]"
10022_at,10070_at,8,11,132,185.99999020807445,490.9000126644969,0.37889587575789124,"[4, 6, 7, 8, 9, 7, 1, 0]"
10010_at,10134_at,9,5,132,184.1000048443675,502.1000106353313,0.3666600297646218,"[0, 1, 5, 6, 7, 5, 3, 1, 0]"
10107_at,10158_at,7,16,132,182.70002328790724,476.9999941345304,0.38301892145596034,"[0, 7, 9, 6, 4, 3, 2]"
10111_at,10158_at,9,3,132,174.99999376013875,458.9000018313527,0.38134668350786327,"[5, 9, 8, 7, 6, 4, 3, 2, 1]"
10066_s_at,10188_at,9,12,132,174.19998766854405,452.4999822024256,0.384972363580372,"[2, 3, 4, 5, 6, 8, 9, 8, 7]"
10078_at,10166_at,9,19,132,175.19999528303742,472.40001731552184,0.37087211867314385,"[0, 1, 2, 8, 9, 7, 5, 2, 1]"
10003_f_at,10111_at,10,26,132,170.99999240599573,461.799994809553,0.3702901566218431,"[0, 1, 2, 3, 7, 8, 7, 6, 5, 0]"
10114_at,10170_g_at,9,16,132,174.8999929986894,465.5000229831785,0.375724993261729,"[1, 3, 5, 9, 7, 5, 4, 3, 1]"
10056_at,10166_at,10,19,132,180.19997514784336,483.3000130020082,0.3728532387750931,"[1, 4, 5, 6, 9, 8, 7, 5, 1, 0]"
10023_at,10177_at,8,8,132,170.8999916445464,469.7999975178391,0.36377180193164443,"[0, 3, 7, 9, 8, 7, 6, 5]"
10077_at,10125_at,9,26,132,182.1999903768301,490.00000581145287,0.3718367106447318,"[0, 1, 2, 3, 5, 8, 5, 2, 1]"
10037_at,10162_at,8,1,132,183.39999951422215,472.59998973459005,0.38806602517536815,"[8, 9, 7, 5, 3, 2, 1, 0]"
10027_at,10150_at,9,24,132,174.7000205796212,451.600004453212,0.3868468088062674,"[0, 1, 2, 5, 7, 9, 8, 7, 4]"
10007_at,10170_g_at,9,2,132,172.0000000204891,465.79999616369605,0.3692571950130355,"[7, 8, 9, 8, 7, 5, 4, 3, 1]"
10101_at,10141_at,10,21,132,171.4999962132424,455.8000073302537,0.37626150385070234,"[5, 6, 7, 9, 8, 7, 5, 3, 1, 0]"
10150_at,10182_at,9,18,132,173.80001372657716,461.20001934468746,0.37684303216970183,"[0, 1, 2, 3, 7, 9, 6, 4, 3]"
10008_at,10154_at,10,13,132,169.99998479150236,459.4000056385994,0.37004785090324505,"[0, 3, 8, 9, 7, 6, 5, 4, 2, 0]"
10019_at,10079_at,8,13,132,174.49998995289207,464.9000184144825,0.3753495010561954,"[4, 5, 8, 7, 6, 2, 1, 0]"
10155_at,10182_at,8,29,132,173.39998157694936,462.39999937824905,0.3749999606619938,"[0, 3, 5, 8, 9, 8, 1, 0]"
10076_at,10078_at,9,14,132,183.39999951422215,479.20001088641584,0.38272119229499185,"[1, 4, 9, 7, 4, 3, 2, 1, 0]"
10067_at,10160_at,10,8,132,185.5999871622771,486.4000075031072,0.3815789150889178,"[0, 2, 3, 5, 9, 6, 5, 4, 1, 0]"
